Model,DPO4034B,,,
Firmware Version,1.26,,,
,,,,
Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,20,,,
Horizontal Delay,0,0,0,0
Sample Interval,0.02,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,50,50,10,10
Vertical Units,V,V,A,A
Vertical Offset,0,0,0,0
Vertical Scale,25,25,2,2
Vertical Position,0,0,0,0
Label,,,,
TIME,CH1,CH2,CH3,CH4
-9.26E+01,nan,nan,nan,nan
-9.25E+01,nan,nan,nan,nan
-9.25E+01,nan,nan,nan,nan
-9.25E+01,nan,nan,nan,nan
-9.25E+01,nan,nan,nan,nan
-9.25E+01,nan,nan,nan,nan
-9.24E+01,nan,nan,nan,nan
-9.24E+01,nan,nan,nan,nan
-9.24E+01,nan,nan,nan,nan
-9.24E+01,nan,nan,nan,nan
-9.24E+01,nan,nan,nan,nan
-9.23E+01,nan,nan,nan,nan
-9.23E+01,nan,nan,nan,nan
-9.23E+01,nan,nan,nan,nan
-9.23E+01,nan,nan,nan,nan
-9.23E+01,nan,nan,nan,nan
-9.22E+01,nan,nan,nan,nan
-9.22E+01,nan,nan,nan,nan
-9.22E+01,nan,nan,nan,nan
-9.22E+01,nan,nan,nan,nan
-9.22E+01,nan,nan,nan,nan
-9.21E+01,nan,nan,nan,nan
-9.21E+01,nan,nan,nan,nan
-9.21E+01,nan,nan,nan,nan
-9.21E+01,nan,nan,nan,nan
-9.21E+01,nan,nan,nan,nan
-9.20E+01,nan,nan,nan,nan
-9.20E+01,nan,nan,nan,nan
-9.20E+01,nan,nan,nan,nan
-9.20E+01,nan,nan,nan,nan
-9.20E+01,nan,nan,nan,nan
-9.19E+01,nan,nan,nan,nan
-9.19E+01,nan,nan,nan,nan
-9.19E+01,nan,nan,nan,nan
-9.19E+01,nan,nan,nan,nan
-9.19E+01,nan,nan,nan,nan
-9.18E+01,nan,nan,nan,nan
-9.18E+01,nan,nan,nan,nan
-9.18E+01,nan,nan,nan,nan
-9.18E+01,nan,nan,nan,nan
-9.18E+01,nan,nan,nan,nan
-9.17E+01,nan,nan,nan,nan
-9.17E+01,nan,nan,nan,nan
-9.17E+01,nan,nan,nan,nan
-9.17E+01,nan,nan,nan,nan
-9.17E+01,nan,nan,nan,nan
-9.16E+01,nan,nan,nan,nan
-9.16E+01,nan,nan,nan,nan
-9.16E+01,nan,nan,nan,nan
-9.16E+01,nan,nan,nan,nan
-9.16E+01,nan,nan,nan,nan
-9.15E+01,nan,nan,nan,nan
-9.15E+01,nan,nan,nan,nan
-9.15E+01,nan,nan,nan,nan
-9.15E+01,nan,nan,nan,nan
-9.15E+01,nan,nan,nan,nan
-9.14E+01,nan,nan,nan,nan
-9.14E+01,nan,nan,nan,nan
-9.14E+01,nan,nan,nan,nan
-9.14E+01,nan,nan,nan,nan
-9.14E+01,nan,nan,nan,nan
-9.13E+01,nan,nan,nan,nan
-9.13E+01,nan,nan,nan,nan
-9.13E+01,nan,nan,nan,nan
-9.13E+01,nan,nan,nan,nan
-9.13E+01,nan,nan,nan,nan
-9.12E+01,nan,nan,nan,nan
-9.12E+01,nan,nan,nan,nan
-9.12E+01,nan,nan,nan,nan
-9.12E+01,nan,nan,nan,nan
-9.12E+01,nan,nan,nan,nan
-9.11E+01,nan,nan,nan,nan
-9.11E+01,nan,nan,nan,nan
-9.11E+01,nan,nan,nan,nan
-9.11E+01,nan,nan,nan,nan
-9.11E+01,nan,nan,nan,nan
-9.10E+01,nan,nan,nan,nan
-9.10E+01,nan,nan,nan,nan
-9.10E+01,nan,nan,nan,nan
-9.10E+01,nan,nan,nan,nan
-9.10E+01,nan,nan,nan,nan
-9.09E+01,nan,nan,nan,nan
-9.09E+01,nan,nan,nan,nan
-9.09E+01,nan,nan,nan,nan
-9.09E+01,nan,nan,nan,nan
-9.09E+01,nan,nan,nan,nan
-9.08E+01,nan,nan,nan,nan
-9.08E+01,nan,nan,nan,nan
-9.08E+01,nan,nan,nan,nan
-9.08E+01,nan,nan,nan,nan
-9.08E+01,nan,nan,nan,nan
-9.07E+01,nan,nan,nan,nan
-9.07E+01,nan,nan,nan,nan
-9.07E+01,nan,nan,nan,nan
-9.07E+01,nan,nan,nan,nan
-9.07E+01,nan,nan,nan,nan
-9.06E+01,nan,nan,nan,nan
-9.06E+01,nan,nan,nan,nan
-9.06E+01,nan,nan,nan,nan
-9.06E+01,nan,nan,nan,nan
-9.06E+01,nan,nan,nan,nan
-9.05E+01,nan,nan,nan,nan
-9.05E+01,nan,nan,nan,nan
-9.05E+01,nan,nan,nan,nan
-9.05E+01,nan,nan,nan,nan
-9.05E+01,nan,nan,nan,nan
-9.04E+01,nan,nan,nan,nan
-9.04E+01,nan,nan,nan,nan
-9.04E+01,nan,nan,nan,nan
-9.04E+01,nan,nan,nan,nan
-9.04E+01,nan,nan,nan,nan
-9.03E+01,nan,nan,nan,nan
-9.03E+01,nan,nan,nan,nan
-9.03E+01,nan,nan,nan,nan
-9.03E+01,nan,nan,nan,nan
-9.03E+01,nan,nan,nan,nan
-9.02E+01,nan,nan,nan,nan
-9.02E+01,nan,nan,nan,nan
-9.02E+01,nan,nan,nan,nan
-9.02E+01,nan,nan,nan,nan
-9.02E+01,nan,nan,nan,nan
-9.01E+01,nan,nan,nan,nan
-9.01E+01,nan,nan,nan,nan
-9.01E+01,nan,nan,nan,nan
-9.01E+01,nan,nan,nan,nan
-9.01E+01,nan,nan,nan,nan
-9.00E+01,nan,nan,nan,nan
-9.00E+01,nan,nan,nan,nan
-9.00E+01,nan,nan,nan,nan
-9.00E+01,nan,nan,nan,nan
-9.00E+01,nan,nan,nan,nan
-8.99E+01,nan,nan,nan,nan
-8.99E+01,nan,nan,nan,nan
-8.99E+01,nan,nan,nan,nan
-8.99E+01,nan,nan,nan,nan
-8.99E+01,nan,nan,nan,nan
-8.98E+01,nan,nan,nan,nan
-8.98E+01,nan,nan,nan,nan
-8.98E+01,nan,nan,nan,nan
-8.98E+01,nan,nan,nan,nan
-8.98E+01,nan,nan,nan,nan
-8.97E+01,nan,nan,nan,nan
-8.97E+01,nan,nan,nan,nan
-8.97E+01,nan,nan,nan,nan
-8.97E+01,nan,nan,nan,nan
-8.97E+01,nan,nan,nan,nan
-8.96E+01,nan,nan,nan,nan
-8.96E+01,nan,nan,nan,nan
-8.96E+01,nan,nan,nan,nan
-8.96E+01,nan,nan,nan,nan
-8.96E+01,nan,nan,nan,nan
-8.95E+01,nan,nan,nan,nan
-8.95E+01,nan,nan,nan,nan
-8.95E+01,nan,nan,nan,nan
-8.95E+01,nan,nan,nan,nan
-8.95E+01,nan,nan,nan,nan
-8.94E+01,nan,nan,nan,nan
-8.94E+01,nan,nan,nan,nan
-8.94E+01,nan,nan,nan,nan
-8.94E+01,nan,nan,nan,nan
-8.94E+01,nan,nan,nan,nan
-8.93E+01,nan,nan,nan,nan
-8.93E+01,nan,nan,nan,nan
-8.93E+01,nan,nan,nan,nan
-8.93E+01,nan,nan,nan,nan
-8.93E+01,nan,nan,nan,nan
-8.92E+01,nan,nan,nan,nan
-8.92E+01,nan,nan,nan,nan
-8.92E+01,nan,nan,nan,nan
-8.92E+01,nan,nan,nan,nan
-8.92E+01,nan,nan,nan,nan
-8.91E+01,nan,nan,nan,nan
-8.91E+01,nan,nan,nan,nan
-8.91E+01,nan,nan,nan,nan
-8.91E+01,nan,nan,nan,nan
-8.91E+01,nan,nan,nan,nan
-8.90E+01,nan,nan,nan,nan
-8.90E+01,nan,nan,nan,nan
-8.90E+01,nan,nan,nan,nan
-8.90E+01,nan,nan,nan,nan
-8.90E+01,nan,nan,nan,nan
-8.89E+01,nan,nan,nan,nan
-8.89E+01,nan,nan,nan,nan
-8.89E+01,nan,nan,nan,nan
-8.89E+01,nan,nan,nan,nan
-8.89E+01,nan,nan,nan,nan
-8.88E+01,nan,nan,nan,nan
-8.88E+01,nan,nan,nan,nan
-8.88E+01,nan,nan,nan,nan
-8.88E+01,nan,nan,nan,nan
